,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
92,0.06709473133087158,0.003355531297591245,0.03405789852142334,0.0013964425293577912,rbf,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
39,0.07831260681152344,0.014999540283765185,0.03935878038406372,0.007064819133395556,rbf,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
93,0.06759489774703979,0.0034680060655779476,0.03438791513442993,0.0018051330023344686,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5990763673890609,0.029568476552598283,1
59,0.07016560792922974,0.005597817890055804,0.03639766931533814,0.0036032703107976524,rbf,auto,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5990028379772961,0.029886644244409025,4
68,0.071356041431427,0.004937560140809715,0.03569820165634155,0.0029254078635319288,rbf,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.5988493292053663,0.029327943491459483,5
81,0.07030530214309692,0.0029849274666905582,0.03423787593841553,0.0016119596615398531,rbf,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",270,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 270}",0.597983746130031,0.02984098447073156,6
10,0.06499458074569703,0.0029059815150963182,0.031926932334899905,0.002352868163170282,rbf,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.597936016511868,0.028745323747157905,7
72,0.07211594820022584,0.006004229472145567,0.03514786243438721,0.002936685548542712,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",280,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 280}",0.5977941176470588,0.02924945425962772,8
27,0.07360533237457276,0.008791800117776156,0.03646443843841553,0.005846152105522514,rbf,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",260,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 260}",0.5977876676986584,0.029856912861957404,9
55,0.06861606597900391,0.0029661675432252265,0.03392814874649048,0.0014949495757135493,rbf,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.5977076883384934,0.028327704927082954,10
91,0.06833536386489868,0.0033945210408489234,0.03396814107894897,0.0015382501054956293,rbf,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",220,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 220}",0.5975812693498451,0.028647370850485923,11
38,0.07230543613433837,0.004660288794491432,0.03453387022018432,0.0018804647855321037,rbf,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",300,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 300}",0.5973413312693499,0.030252874143410272,12
9,0.0628354024887085,0.0037660945953855,0.03321772813796997,0.0020452499057175915,rbf,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",110,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 110}",0.5966589267285861,0.02950634483673147,13
90,0.06527421951293945,0.0033130382107035405,0.03485796928405762,0.0016879909404052724,rbf,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",100,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 100}",0.5964796181630547,0.02914006508690848,14
22,0.052421386241912844,0.00429315179452573,0.009982292652130126,0.001175017683722181,poly,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.5935797213622291,0.03206235681742241,15
23,0.05110257863998413,0.0027195284259972138,0.01013254165649414,0.001738973701884341,poly,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.5922355521155831,0.03176504438234912,16
53,0.05608502149581909,0.007210672318452435,0.01183232307434082,0.0031509631103753153,poly,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.5863106295149638,0.031594513412320016,17
52,0.05320298671722412,0.00726160608111119,0.010862598419189453,0.001887549027092092,poly,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",110,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 110}",0.5841756965944271,0.030781194407650824,18
2,0.057302649021148684,0.009852526989895923,0.009352173805236817,0.001526374018712262,poly,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.5738312693498451,0.03095341040566013,19
65,0.058944168090820315,0.0065621960596158845,0.010582275390625,0.0024262443847478075,poly,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5735049019607843,0.030472285170427507,20
44,0.10198551893234253,0.016764937740085282,0.00963209629058838,0.003500882582825233,linear,scale,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",110,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 110}",0.5729721362229102,0.02991268213797438,21
54,0.11066105842590332,0.011529655146214969,0.008802406787872315,0.0014074237012341466,poly,scale,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",110,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 110}",0.572906346749226,0.031109978317111455,22
50,0.0890012788772583,0.00787454427779087,0.008717606067657471,0.0007620709052229893,linear,scale,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",100,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 100}",0.5728521671826625,0.02977851348024118,23
40,0.0900920295715332,0.009613501126220413,0.0089328670501709,0.0012006331352256339,linear,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",100,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 100}",0.5728521671826625,0.02977851348024118,23
5,0.09298004627227784,0.007393733872118599,0.008832464218139649,0.0009183611071780579,poly,scale,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.572702528379773,0.02981124059645905,25
7,0.12851852416992188,0.017393812165346745,0.008562476634979247,0.0012598315433949615,linear,scale,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.5726135190918472,0.029467450294933847,26
25,0.14469223976135254,0.024450429142919356,0.009632611274719238,0.002759770788941401,linear,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.5726135190918472,0.029467450294933847,26
20,0.15431391716003418,0.026829449094497835,0.009312012195587159,0.0021988893675333443,linear,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",240,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 240}",0.5726135190918472,0.029467450294933847,26
63,0.10328273296356201,0.012949121156249214,0.009032349586486816,0.0012047005975864102,linear,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.5724496904024768,0.029720817197866015,29
19,0.11274057626724243,0.017457192613873164,0.010593349933624268,0.003329791794220371,linear,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.5724496904024768,0.029720817197866015,29
62,0.14769133806228638,0.01866821036032909,0.008771560192108153,0.0008937318412181402,linear,scale,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",270,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 270}",0.5723787409700722,0.029110895490101017,31
46,0.14875932216644286,0.02091217239801183,0.008812623023986816,0.0009776066403163306,linear,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",270,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 270}",0.5723787409700722,0.029110895490101017,31
18,0.10370142936706543,0.01261931431967078,0.008683512210845947,0.0007620428958922339,linear,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5721942724458204,0.02954758673417366,33
61,0.10024316549301147,0.008984903602997123,0.008772332668304444,0.000936575093189536,linear,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.5721942724458204,0.029645570379970135,33
51,0.09979205846786499,0.010965878579371924,0.009062166213989259,0.002918903831724693,linear,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.5721942724458204,0.029645570379970135,33
98,0.10150247573852539,0.011036887018028529,0.008672266006469727,0.0014565131535510063,linear,scale,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5721942724458204,0.02954758673417366,33
34,0.12963887214660644,0.015100141720983775,0.009272203445434571,0.0025608946430837436,linear,scale,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",210,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 210}",0.5721749226006192,0.02965561705687047,37
94,0.12174699544906616,0.012211512098056265,0.008661949634552002,0.0008521565875320042,linear,auto,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",210,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 210}",0.5721749226006192,0.02965561705687047,37
86,0.10344590663909912,0.008369052536462479,0.008692162036895752,0.0012310810984489987,linear,scale,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5720291537667699,0.029738499230242205,39
8,0.10373285531997681,0.012905937007911532,0.008291876316070557,0.0009094720764644165,linear,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5720291537667699,0.029738499230242205,39
45,0.14134149074554445,0.01919729430810097,0.009392168521881104,0.002800334290703025,linear,auto,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",220,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 220}",0.5718872549019608,0.02961574621997865,41
3,0.12549746990203858,0.015146552763155517,0.008402526378631592,0.0013718721989482725,linear,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",220,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 220}",0.5718872549019608,0.02961574621997865,41
84,0.11463793277740479,0.012012557076799343,0.008539462089538574,0.000780098642622007,linear,scale,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.571795665634675,0.029313063798178107,43
6,0.11578553438186645,0.02048953640722778,0.008662257194519043,0.0016988384130142695,linear,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.571795665634675,0.029313063798178107,43
97,0.10869432210922242,0.010273978410445792,0.008481779098510743,0.0006560625386782203,linear,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5717389060887513,0.029638748990237624,45
24,0.07297674417495728,0.005052839926953653,0.031466543674468994,0.0028689888018242214,rbf,scale,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",100,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 100}",0.5708630030959753,0.031424773763694805,46
87,0.07420620203018188,0.0047542293417681715,0.03075707197189331,0.0021885077754979694,rbf,scale,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",120,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 120}",0.5701289989680083,0.03205856918471087,47
78,0.0766306734085083,0.007481483386749328,0.03117900848388672,0.0027315490572700964,rbf,scale,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.5695962332301342,0.031537672843209436,48
82,0.0786478853225708,0.007384982805974104,0.03166684627532959,0.00367072182805802,rbf,scale,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5688983488132096,0.030599232285497168,49
